TCP,0,Reserved
TCP,1,Port
TCP,2,Management
TCP,3,Compression
TCP,4,Unassigned
TCP,5,Remote
TCP,6,Unassigned
TCP,7,Echo
TCP,8,Unassigned
TCP,9,Discard
TCP,10,Unassigned
TCP,11,Active
TCP,12,Unassigned
TCP,13,Daytime
TCP,14,Unassigned
TCP,15,Unassigned
TCP,16,Unassigned
TCP,17,Quote
TCP,18,Message
TCP,19,Character
TCP,20,File
TCP,21,File
TCP,22,SSH
TCP,23,Telnet
TCP,24,any
TCP,25,Simple
TCP,26,Unassigned
TCP,27,NSW
TCP,28,Unassigned
TCP,29,MSG
TCP,30,Unassigned
TCP,31,MSG
TCP,32,Unassigned
TCP,33,Display
TCP,34,Unassigned
TCP,35,any
TCP,36,Unassigned
TCP,37,Time
TCP,38,Route
TCP,39,Resource
TCP,40,Unassigned
TCP,41,Graphics
TCP,42,Host
TCP,43,WhoIs
TCP,44,MPM
TCP,45,Message
TCP,46,MPM
TCP,47,NI
TCP,48,Digital
TCP,49,Login
TCP,50,Remote
TCP,51,IMP
TCP,52,XNS
TCP,53,Domain
TCP,54,XNS
TCP,55,ISI
TCP,56,XNS
TCP,57,any
TCP,58,XNS
TCP,59,any
TCP,60,Unassigned
TCP,61,NI
TCP,62,ACA
TCP,63,whois++
TCP,64,Communications
TCP,65,TACACS-Database
TCP,66,Oracle
TCP,67,Bootstrap
TCP,68,Bootstrap
TCP,69,Trivial
TCP,70,Gopher
TCP,71,Remote
TCP,72,Remote
TCP,73,Remote
TCP,74,Remote
TCP,75,any
TCP,76,Distributed
TCP,77,any
TCP,78,vettcp
TCP,79,Finger
TCP,80,World
TCP,81,HOSTS2
TCP,82,XFER
TCP,83,MIT
TCP,84,Common
TCP,85,MIT
TCP,86,Micro
TCP,87,any
TCP,88,Kerberos
TCP,89,SU/MIT
TCP,90,DNSIX
TCP,91,MIT
TCP,92,Network
TCP,93,Device
TCP,94,Tivoli
TCP,95,SUPDUP
TCP,96,DIXIE
TCP,97,Swift
TCP,98,Linuxconf
TCP,99,Metagram
TCP,100,[unauthorized
TCP,101,NIC
TCP,102,MSExchangeMTA
TCP,103,Genesis
TCP,104,ACR-NEMA
TCP,105,Mailbox
TCP,106,3COM-TSMUX
TCP,107,Remote
TCP,108,SNA
TCP,109,Post
TCP,110,Post
TCP,111,SUN
TCP,112,McIDAS
TCP,113,Authentication
TCP,114,Audio
TCP,115,Simple
TCP,116,ANSA
TCP,117,UUCP
TCP,118,SQL
TCP,119,Network
TCP,120,CFDPTKT
TCP,121,Encore
TCP,122,SMAKYNET
TCP,123,Network
TCP,124,ANSA
TCP,125,Locus
TCP,126,Unisys
TCP,127,Locus
TCP,128,GSS
TCP,129,Password
TCP,130,cisco
TCP,131,cisco
TCP,132,cisco
TCP,133,Statistics
TCP,134,INGRES-NET
TCP,135,DCE
TCP,136,PROFILE
TCP,137,NETBIOS
TCP,138,NETBIOS
TCP,139,NETBIOS
TCP,140,EMFIS
TCP,141,EMFIS
TCP,142,Britton-Lee
TCP,143,Internet
TCP,144,Universal
TCP,145,UAAC
TCP,146,ISO-IP0
TCP,147,ISO-IP
TCP,148,Jargon
TCP,149,AED
TCP,150,SQL-NET
TCP,151,HEMS
TCP,152,Background
TCP,153,SGMP
TCP,154,NETSC
TCP,155,NETSC
TCP,156,SQL
TCP,157,KNET/VM
TCP,158,PCMail
TCP,159,NSS-Routing
TCP,160,SGMP-TRAPS
TCP,161,SNMP
TCP,162,SNMPTRAP
TCP,163,CMIP/TCP
TCP,164,CMIP/TCP
TCP,165,Xerox
TCP,166,Sirius
TCP,167,NAMP
TCP,168,RSVD
TCP,169,SEND
TCP,170,Network
TCP,171,Network
TCP,172,Network
TCP,173,Xyplex
TCP,174,MAILQ
TCP,175,VMNET
TCP,176,GENRAD-MUX
TCP,177,X
TCP,178,NextStep
TCP,179,Border
TCP,180,Intergraph
TCP,181,Unify
TCP,182,Unisys
TCP,183,OCBinder
TCP,184,OCServer
TCP,185,Remote-KIS
TCP,186,KIS
TCP,187,Application
TCP,188,Plus
TCP,189,Queued
TCP,190,Gateway
TCP,191,Prospero
TCP,192,OSU
TCP,193,Spider
TCP,194,Internet
TCP,195,DNSIX
TCP,196,DNSIX
TCP,197,Directory
TCP,198,Directory
TCP,199,SMUX
TCP,200,IBM
TCP,201,AppleTalk
TCP,202,AppleTalk
TCP,203,AppleTalk
TCP,204,AppleTalk
TCP,205,AppleTalk
TCP,206,AppleTalk
TCP,207,AppleTalk
TCP,208,AppleTalk
TCP,209,The
TCP,210,ANSI
TCP,211,Texas
TCP,212,ATEXSSTR
TCP,213,IPX
